trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,states_visited,zCount
89,False,"{'a': 0.5, 'e': 0.9119888888888888}",20,0,-106.65991471461732,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0,89,56
90,False,"{'a': 0.5, 'e': 0.91}",20,0,-67.49473757348655,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0,90,59
91,False,"{'a': 0.5, 'e': 0.9079888888888888}",20,0,-67.32522227228273,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0,90,56
92,False,"{'a': 0.5, 'e': 0.9059555555555555}",25,0,-165.77608131060953,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0,90,54
93,False,"{'a': 0.5, 'e': 0.9039}",25,0,-92.77604473597636,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0,91,56
94,False,"{'a': 0.5, 'e': 0.9018222222222222}",20,2,-1.2613254233158029,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1,91,56
95,False,"{'a': 0.5, 'e': 0.8997222222222222}",20,0,-220.66192709284226,"{0: 8, 1: 5, 2: 1, 3: 2, 4: 4}",0,91,55
96,False,"{'a': 0.5, 'e': 0.8976}",25,1,-148.44908865978,"{0: 13, 1: 1, 2: 6, 3: 3, 4: 1}",1,91,53
97,False,"{'a': 0.5, 'e': 0.8954555555555556}",25,0,-207.55486469747012,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0,91,52
98,False,"{'a': 0.5, 'e': 0.8932888888888889}",20,0,-183.75009246268036,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0,91,52
99,False,"{'a': 0.5, 'e': 0.8911}",20,5,-77.04604421766703,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 1}",1,91,52
100,False,"{'a': 0.5, 'e': 0.8888888888888888}",20,0,-55.93252238040646,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0,91,52
101,False,"{'a': 0.5, 'e': 0.8866555555555555}",20,0,-214.98098698921993,"{0: 9, 1: 1, 2: 4, 3: 3, 4: 3}",0,91,52
102,False,"{'a': 0.5, 'e': 0.8844}",25,0,-40.41961481035868,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0,91,51
103,False,"{'a': 0.5, 'e': 0.8821222222222223}",25,0,-88.54789782156979,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0,91,51
104,False,"{'a': 0.5, 'e': 0.8798222222222222}",25,0,-78.87471859337974,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0,92,52
105,False,"{'a': 0.5, 'e': 0.8775}",20,0,-132.14101241074528,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0,92,52
106,False,"{'a': 0.5, 'e': 0.8751555555555556}",25,0,-67.66739283163872,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0,92,52
107,False,"{'a': 0.5, 'e': 0.8727888888888888}",20,8,-32.08904622516538,"{0: 7, 1: 3, 2: 1, 3: 1, 4: 0}",1,92,52
108,False,"{'a': 0.5, 'e': 0.8704000000000001}",20,0,-51.958618535629384,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0,92,52
109,False,"{'a': 0.5, 'e': 0.8679888888888889}",20,13,-2.3809618697249975,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1,92,52
110,False,"{'a': 0.5, 'e': 0.8655555555555555}",25,13,-0.21340893630478353,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1,92,52
111,False,"{'a': 0.5, 'e': 0.8631}",30,3,-38.38144910501822,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 0}",1,92,51
112,False,"{'a': 0.5, 'e': 0.8606222222222222}",30,0,-7.631401360411228,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0,92,51
113,False,"{'a': 0.5, 'e': 0.8581222222222222}",20,0,-56.54618034130279,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0,92,49
114,False,"{'a': 0.5, 'e': 0.8556}",20,6,-46.834685513433705,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1,92,49
115,False,"{'a': 0.5, 'e': 0.8530555555555556}",25,14,-30.932040595197165,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 0}",1,92,49
116,False,"{'a': 0.5, 'e': 0.8504888888888888}",25,0,-98.17481114237017,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0,92,49
117,False,"{'a': 0.5, 'e': 0.8479}",20,0,-84.5306102152262,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0,92,49
118,False,"{'a': 0.5, 'e': 0.8452888888888889}",20,0,-100.69684874773178,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0,92,48
119,False,"{'a': 0.5, 'e': 0.8426555555555555}",25,0,-175.1060371837932,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0,92,46
120,False,"{'a': 0.5, 'e': 0.84}",25,0,-185.95606373760725,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0,92,44
121,False,"{'a': 0.5, 'e': 0.8373222222222222}",20,9,-47.875167868268164,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 1}",1,92,43
122,False,"{'a': 0.5, 'e': 0.8346222222222222}",20,0,-69.21322919164174,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0,92,43
123,False,"{'a': 0.5, 'e': 0.8319}",25,0,-65.89862550867703,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0,92,43
124,False,"{'a': 0.5, 'e': 0.8291555555555555}",25,4,-66.89410954305212,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 1}",1,92,42
125,False,"{'a': 0.5, 'e': 0.8263888888888888}",20,0,-59.11326160425317,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0,92,41
126,False,"{'a': 0.5, 'e': 0.8236}",20,0,-145.73719059432784,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0,92,41
127,False,"{'a': 0.5, 'e': 0.8207888888888889}",20,0,-151.72799890027594,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0,92,41
128,False,"{'a': 0.5, 'e': 0.8179555555555555}",20,0,-97.57413744958906,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0,92,41
129,False,"{'a': 0.5, 'e': 0.8150999999999999}",20,0,-11.433009036233894,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0,92,41
130,False,"{'a': 0.5, 'e': 0.8122222222222222}",30,0,-74.74943387946412,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0,92,41
131,False,"{'a': 0.5, 'e': 0.8093222222222223}",25,11,2.0098633392527274,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1,92,41
132,False,"{'a': 0.5, 'e': 0.8064}",20,0,-66.77319316504375,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0,93,44
133,False,"{'a': 0.5, 'e': 0.8034555555555556}",30,16,-107.22356130555322,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 2}",1,93,44
134,False,"{'a': 0.5, 'e': 0.8004888888888889}",30,16,-6.446107230067338,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 0}",1,93,44
135,False,"{'a': 0.5, 'e': 0.7975}",20,10,-72.1428773904891,"{0: 5, 1: 2, 2: 1, 3: 1, 4: 1}",1,93,44
136,False,"{'a': 0.5, 'e': 0.7944888888888889}",25,0,-92.21578253683029,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0,93,43
137,False,"{'a': 0.5, 'e': 0.7914555555555556}",25,7,-68.71460145711225,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 0}",1,93,43
